"No.","Time","Source","Destination","Protocol","Length","Info"
"6301","1158.101586293","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7193","1186.976994265","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7210","1197.216571614","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7217","1207.251137262","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7226","1217.286165292","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7233","1227.116246148","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7244","1236.335776366","HonHaiPr_87:1b:89","Apple_68:48:f0","ARP","42","Who has 192.168.43.1? Tell 192.168.43.49"
"7247","1236.546676817","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7260","1237.151806638","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7306","1247.109405405","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7344","1257.220934411","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7358","1267.255952247","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7361","1277.290409713","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7373","1287.325195628","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7413","1297.359948117","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7438","1307.189987634","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7476","1317.188930143","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 88:e9:fe:68:48:f0"
"7485","1321.730786735","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 5e:99:60:f5:c1:b2"
"7486","1322.754157299","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 5e:99:60:f5:c1:b2"
"7487","1323.778117879","Apple_68:48:f0","HonHaiPr_87:1b:89","ARP","42","192.168.43.1 is at 5e:99:60:f5:c1:b2"
"7549","1366.169162121","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.1? Tell 192.168.43.100"
"7550","1366.170144481","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.67? Tell 192.168.43.100"
"7551","1366.170998976","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.126? Tell 192.168.43.100"
"7552","1366.374045135","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.229? Tell 192.168.43.100"
"7553","1366.374929688","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.34? Tell 192.168.43.100"
"7554","1366.375789465","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.209? Tell 192.168.43.100"
"7555","1366.376689113","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.197? Tell 192.168.43.100"
"7556","1366.377569221","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.183? Tell 192.168.43.100"
"7557","1366.378418310","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.150? Tell 192.168.43.100"
"7558","1366.379212001","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.223? Tell 192.168.43.100"
"7559","1366.380107970","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.164? Tell 192.168.43.100"
